student_id,student_year,day_of_week,meal_time,meal_type,is_weekend,class_day,assignment_deadline,arrival_time_min,temperature,humidity,wind_speed,rain,air_quality,rising_time,sleeping_time,mess_duration
128,1,2,1,1,0,1,0,868,29,64,14.7,0,124,497,1360,20
96,2,0,0,1,0,0,0,596,33,59,13.4,0,148,468,1260,8
41,2,2,2,1,0,0,0,1282,25,62,5.5,0,140,463,1329,28
115,3,2,2,1,0,1,0,1281,26,61,6.1,0,131,500,1276,33
67,3,0,1,1,0,0,0,816,30,65,7.5,0,124,424,1343,23
29,1,0,0,1,0,0,0,596,32,65,11.7,0,149,479,1309,5
123,1,0,1,1,0,1,0,809,29,63,14.5,0,126,376,1306,21
103,2,5,2,0,1,0,0,1196,25,57,5.7,0,133,459,1359,29
25,3,2,0,0,0,0,0,485,33,62,15.3,0,168,375,1286,9
85,2,2,0,1,0,1,0,535,33,55,3.0,0,159,438,1352,12
5,2,4,2,0,0,0,0,1185,26,61,8.3,0,124,532,1353,25
33,3,5,2,1,1,0,0,1230,26,60,15.5,0,122,595,1353,29
28,2,5,0,1,1,0,0,568,31,57,5.9,0,166,539,1400,10
146,3,1,2,1,0,0,0,1249,26,58,12.1,0,138,399,1358,34
100,1,3,2,0,0,0,1,1182,25,56,4.1,0,112,411,1357,29
89,2,5,0,1,1,1,0,524,33,62,6.1,0,155,473,1340,11
36,2,3,2,0,0,0,0,1186,25,61,21.6,0,127,440,1312,31
27,2,5,1,0,1,1,0,818,29,54,14.6,0,132,539,1347,19
74,3,1,2,1,0,1,0,1271,26,61,7.2,0,132,497,1337,26
70,3,0,2,1,0,0,0,1277,25,65,9.6,0,128,401,1321,29
112,3,0,2,0,0,0,0,1201,25,53,13.0,0,128,424,1284,23
0,2,4,2,1,0,0,0,1243,26,56,8.3,0,121,359,1421,22
140,4,5,1,1,1,0,1,774,30,63,9.9,0,139,467,1377,25
85,2,2,1,1,0,1,0,750,30,64,11.8,0,140,505,1345,18
109,1,0,0,1,0,1,0,481,33,56,9.7,0,155,434,1348,21
84,2,5,0,0,1,1,0,487,33,62,5.9,0,164,642,1311,12
105,2,2,1,1,0,1,0,766,31,55,3.0,1,127,384,1300,27
114,3,6,0,0,1,1,0,457,33,54,14.2,0,163,563,1340,15
91,3,1,0,1,0,0,0,539,31,51,4.0,0,161,383,1291,7
47,2,4,0,1,0,0,1,496,31,49,6.4,0,170,403,1387,6
17,2,1,0,1,0,0,0,477,33,56,7.2,0,164,514,1365,10
108,2,1,1,1,0,0,0,862,25,63,15.0,0,123,370,1319,21
149,2,4,0,0,0,0,0,511,32,60,10.7,0,158,497,1382,8
78,2,2,2,0,0,1,0,1287,25,64,11.5,0,144,466,1320,32
76,3,2,1,1,0,1,0,759,30,55,12.5,0,139,349,1371,20
93,2,6,2,0,1,1,0,1289,25,60,13.2,0,148,548,1322,30
77,1,1,1,1,0,1,0,821,30,52,4.8,0,134,383,1289,22
52,3,2,1,1,0,1,0,797,31,63,7.8,0,135,485,1303,16
85,2,1,1,1,0,0,1,780,30,49,9.4,0,146,443,1260,20
25,3,2,2,0,0,1,0,1175,25,54,3.0,1,127,543,1289,32
110,2,3,2,1,0,0,0,1206,25,61,19.0,0,136,458,1339,24
45,3,4,0,1,0,1,0,512,33,51,8.9,0,162,479,1335,10
34,4,6,2,1,1,1,1,1260,25,65,7.6,0,126,460,1316,33
28,2,6,0,1,1,1,0,530,31,54,6.9,0,150,500,1327,14
122,2,2,1,1,0,1,0,765,30,64,10.0,0,138,376,1260,19
128,1,4,0,1,0,0,0,573,32,65,3.0,0,154,366,1332,9
66,1,2,0,0,0,1,0,527,29,54,10.5,0,160,494,1339,11
147,2,2,1,0,0,0,0,754,32,64,6.7,0,139,459,1327,18
58,1,5,1,1,1,1,0,758,31,57,8.2,0,132,557,1365,25
74,3,5,1,0,1,1,0,766,28,63,3.0,0,130,489,1363,29
52,3,6,1,1,1,1,0,797,27,58,6.9,0,127,611,1300,20
38,3,2,2,0,0,1,0,1225,27,54,9.3,0,121,418,1353,28
103,2,1,0,0,0,0,0,551,32,46,15.1,0,158,457,1337,5
82,2,6,2,1,1,1,0,1194,25,65,10.4,0,122,660,1292,28
6,1,0,1,1,0,0,0,844,29,55,13.0,0,126,420,1309,16
97,2,2,2,0,0,1,0,1184,25,62,10.4,0,133,496,1319,29
12,3,4,0,0,0,0,1,478,32,54,17.6,0,169,378,1382,5
132,1,0,1,0,0,0,0,817,28,62,11.4,0,130,405,1293,18
123,1,5,1,1,1,1,1,844,27,59,10.2,0,143,520,1370,21
5,2,4,2,1,0,0,1,1282,25,59,5.9,0,131,430,1405,26
119,2,4,1,0,0,0,0,854,26,53,7.5,0,127,440,1375,19
123,1,6,0,1,1,1,0,486,33,59,4.4,0,169,652,1364,12
66,1,1,2,1,0,0,1,1249,26,63,13.8,0,129,507,1349,29
6,1,4,0,1,0,1,1,587,33,63,9.0,0,168,422,1389,5
12,3,5,0,1,1,1,0,537,31,59,14.3,0,156,509,1414,13
67,3,2,2,1,0,0,0,1204,27,60,16.5,0,129,442,1265,22
118,3,4,0,1,0,0,0,471,33,58,12.7,0,153,509,1358,5
63,2,0,2,1,0,0,0,1241,25,58,14.8,0,115,474,1281,29
16,2,5,0,1,1,1,0,512,32,51,14.9,0,164,520,1385,12
63,2,1,0,1,0,0,0,482,33,62,10.8,0,167,410,1294,8
76,3,3,2,0,0,0,0,1283,25,61,10.6,0,138,514,1347,32
40,1,1,1,1,0,1,1,860,28,65,8.0,0,130,460,1369,16
44,2,2,1,0,0,0,1,868,25,56,9.1,0,142,423,1260,17
34,4,4,0,1,0,0,0,543,32,62,11.7,0,167,521,1379,10
104,3,3,1,1,0,0,0,785,33,50,9.0,0,143,421,1361,20
7,3,3,0,1,0,1,0,568,32,55,6.1,0,153,522,1378,10
